,model,step,restart,candidate,result,best_f,steps_to_best_f
31,BoBn,31,0,"{'x3': 1.28497065224228, 'x1': 2.2033174008696825, 'x4': 1.9229943810912298, 'x5': 0.9968510352286256, 'x2': 1.569994045993025}",4.53749942779541,4.537755966186523,26
32,BoBn,32,0,"{'x3': 1.284973596225352, 'x1': 2.2033117764876518, 'x4': 1.9229955652967279, 'x5': 0.996851118590333, 'x2': 1.5699988391788453}",4.537860870361328,4.537860870361328,32
33,BoBn,33,0,"{'x3': 1.2849762849431394, 'x1': 2.2033060057045772, 'x4': 1.9229966733926163, 'x5': 0.9968516092243956, 'x2': 1.5700034461944277}",4.537683010101318,4.537860870361328,32
34,BoBn,34,0,"{'x3': 1.2849786552487472, 'x1': 2.203300563188948, 'x4': 1.9229984116229393, 'x5': 0.996852198361509, 'x2': 1.570007871044132}",4.5375518798828125,4.537860870361328,32
35,BoBn,35,0,"{'x3': 1.2849814059753186, 'x1': 2.203295196865206, 'x4': 1.923000604310339, 'x5': 0.9968527290751941, 'x2': 1.5700124012161907}",4.537589073181152,4.537860870361328,32
36,BoBn,36,0,"{'x3': 1.284983619051653, 'x1': 2.203290186323362, 'x4': 1.9230005431172166, 'x5': 0.9968535464033059, 'x2': 1.5700163955509898}",4.5375895500183105,4.537860870361328,32
37,BoBn,37,0,"{'x3': 1.2849859611637753, 'x1': 2.203285031528866, 'x4': 1.9230018101868842, 'x5': 0.9968539545795452, 'x2': 1.5700211861430995}",4.537570953369141,4.537860870361328,32
38,BoBn,38,0,"{'x3': 1.2849880120787145, 'x1': 2.2032800919319806, 'x4': 1.92300284592308, 'x5': 0.9968562688093308, 'x2': 1.5700253305716125}",4.53753662109375,4.537860870361328,32
39,BoBn,39,0,"{'x3': 1.2849903859567253, 'x1': 2.203275756877534, 'x4': 1.9230042771337201, 'x5': 0.9968547887089055, 'x2': 1.5700294356417401}",4.537557601928711,4.537860870361328,32
40,BoBn,40,0,"{'x3': 1.284992577121864, 'x1': 2.2032700008434247, 'x4': 1.9230053557576305, 'x5': 0.9968553976322179, 'x2': 1.5700331934666505}",4.537628650665283,4.537860870361328,32
41,BoBn,41,0,"{'x3': 1.2849947358239642, 'x1': 2.2032668364574035, 'x4': 1.9230065324909025, 'x5': 0.9968556122434629, 'x2': 1.570037483667615}",4.537687301635742,4.537860870361328,32
42,BoBn,42,0,"{'x3': 1.284996516556875, 'x1': 2.203262802802362, 'x4': 1.9230073479965106, 'x5': 0.9968558440717669, 'x2': 1.5700413175418337}",4.537615776062012,4.537860870361328,32
43,BoBn,43,0,"{'x3': 1.2849985399851935, 'x1': 2.203262350095554, 'x4': 1.9230088362666642, 'x5': 0.9968559801623162, 'x2': 1.5700451101073798}",4.5377092361450195,4.537860870361328,32
44,BoBn,44,0,"{'x3': 1.2850004967280155, 'x1': 2.2032559807268335, 'x4': 1.9230094580435237, 'x5': 0.9968561312317844, 'x2': 1.5700478895446357}",4.537569522857666,4.537860870361328,32
45,BoBn,45,0,"{'x3': 1.2850021668072504, 'x1': 2.2035374348771666, 'x4': 1.9230108831679233, 'x5': 0.9968563357355941, 'x2': 1.57005252684354}",4.5376973152160645,4.537860870361328,32
46,BoBn,46,0,"{'x3': 1.285003950930313, 'x1': 2.203246591770969, 'x4': 1.923011945994365, 'x5': 0.9968563116884548, 'x2': 1.5700551094121526}",4.537674903869629,4.537860870361328,32
47,BoBn,47,0,"{'x3': 1.2850056272095804, 'x1': 2.203242908533112, 'x4': 1.9230128213212452, 'x5': 0.996856686634225, 'x2': 1.5700597205642508}",4.537708759307861,4.537860870361328,32
48,BoBn,48,0,"{'x3': 1.2850072630198957, 'x1': 2.203239285423673, 'x4': 1.9230138759006197, 'x5': 0.9164313470957272, 'x2': 1.5700631885445666}",4.155144691467285,4.537860870361328,32
49,BoBn,49,0,"{'x3': 1.2850089450632656, 'x1': 2.2032357083398795, 'x4': 1.923014593748921, 'x5': 0.9970364226470437, 'x2': 1.570066434013627}",4.537598133087158,4.537860870361328,32
50,BoBn,50,0,"{'x3': 1.285010532994368, 'x1': 2.2032326652344776, 'x4': 1.9230156244572087, 'x5': 0.997036810032523, 'x2': 1.5844727828910299}",4.530269622802734,4.537860870361328,32
51,BoBn,51,0,"{'x3': 1.285011912288933, 'x1': 2.2032291146212652, 'x4': 1.9230166957404071, 'x5': 0.9970371915227297, 'x2': 1.570878355517426}",4.537754535675049,4.537860870361328,32
